iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WMB","WILLIAMS INC","Energy","Equity","65,644,676.50","0.14","65,644,676.50","887,450.00","73.97","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","65,579,998.17","0.14","65,579,998.17","180,507.00","363.31","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","65,231,495.60","0.14","65,231,495.60","360,196.00","181.10","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","65,009,296.38","0.14","65,009,296.38","102,801.00","632.38","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","64,558,944.60","0.14","64,558,944.60","389,990.00","165.54","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","64,091,613.70","0.14","64,091,613.70","288,766.00","221.95","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","64,015,302.46","0.14","64,015,302.46","541,493.00","118.22","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","63,993,013.65","0.14","63,993,013.65","1,141,713.00","56.05","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","63,963,485.82","0.14","63,963,485.82","118,326.00","540.57","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","63,735,518.50","0.14","63,735,518.50","297,482.00","214.25","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","63,335,408.64","0.14","63,335,408.64","184,576.00","343.14","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","62,432,794.80","0.13","62,432,794.80","342,135.00","182.48","United States","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","61,765,034.76","0.13","61,765,034.76","213,174.00","289.74","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","61,626,461.30","0.13","61,626,461.30","270,173.00","228.10","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","61,282,665.63","0.13","61,282,665.63","509,373.00","120.31","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","61,134,717.12","0.13","61,134,717.12","411,848.00","148.44","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","60,921,818.10","0.13","60,921,818.10","535,106.00","113.85","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","60,651,411.21","0.13","60,651,411.21","107,773.00","562.77","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","60,608,534.25","0.13","60,608,534.25","169,653.00","357.25","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","60,574,167.86","0.13","60,574,167.86","134,858.00","449.17","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","60,240,623.52","0.13","60,240,623.52","199,578.00","301.84","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","59,741,428.50","0.13","59,741,428.50","156,150.00","382.59","United States","NYSE","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","59,600,896.29","0.13","59,600,896.29","100,269.00","594.41","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","59,546,970.24","0.13","59,546,970.24","495,564.00","120.16","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","58,103,383.80","0.12","58,103,383.80","74,085.00","784.28","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","57,960,671.50","0.12","57,960,671.50","1,372,825.00","42.22","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","57,914,390.00","0.12","57,914,390.00","185,030.00","313.00","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","57,472,566.21","0.12","57,472,566.21","121,937.00","471.33","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","57,257,636.38","0.12","57,257,636.38","57,257,636.00","1.00","United States","-","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","56,915,188.72","0.12","56,915,188.72","163,813.00","347.44","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","56,892,457.80","0.12","56,892,457.80","946,315.00","60.12","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","56,818,662.53","0.12","56,818,662.53","587,759.00","96.67","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","56,401,974.72","0.12","56,401,974.72","1,091,792.00","51.66","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","56,235,782.88","0.12","56,235,782.88","615,002.00","91.44","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","56,138,374.49","0.12","56,138,374.49","681,043.00","82.43","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","55,860,511.32","0.12","55,860,511.32","182,241.00","306.52","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","54,595,698.04","0.12","54,595,698.04","191,941.00","284.44","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","53,672,179.92","0.12","53,672,179.92","162,392.00","330.51","United States","NYSE","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","53,595,824.00","0.11","53,595,824.00","845,360.00","63.40","United States","NYSE","USD","1.00","USD","-"
